portfolio_type,expected_return,volatility,sharpe,w_AAPL,w_AXISBANK.NS,w_DRREDDY.NS,w_GOOGL,w_HDFCBANK.NS,w_HINDUNILVR.NS,w_ICICIBANK.NS,w_INFY.NS,w_ITC.NS,w_JSWSTEEL.NS,w_KOTAKBANK.NS,w_LTTS.NS,w_MARUTI.NS,w_MSFT,w_NESTLEIND.NS,w_POWERGRID.NS,w_RELIANCE.NS,w_SHREECEM.NS,w_SUNPHARMA.NS,w_TATASTEEL.NS,w_TCS.NS,w_ULTRACEMCO.NS,w_WIPRO.NS
random,0.11782956586053382,0.12499594508374504,0.3999828353928117,0.08619290058711011,0.06871851128280093,0.04284240738779737,0.04415092056303274,0.039617349554229714,0.029489675644046923,0.04739098437426297,0.03916448453433315,0.05433581045982501,0.08158258591374673,0.09038372822987772,0.007152808796369319,0.034943514947892405,0.016414819199974565,0.03198558794052491,0.02611320328182134,0.015854439562398834,0.06940642084085213,0.045081409355975474,0.08350156434006772,0.0029606016601420745,0.006084085668838317,0.03663218587407942
random,0.11539684347904326,0.11897581426921014,0.3997746133351656,0.01845879955651114,0.05267132837246311,0.07747524372135224,0.1005963176068326,0.06807577903271542,0.0026481818017743,0.05362834069687029,0.01641594630844616,0.005127733590524895,0.06423256508773563,0.08337978271286302,0.0038700431434354958,0.08409532919347593,0.07581002381239126,0.08070374015174414,0.026264414061146726,0.04224092981517164,0.012851739563475044,0.025637937942355703,0.03249559181419596,0.03428215565688342,0.0187853988778495,0.02025267747978632
random,0.11359742601149307,0.11485458894902269,0.39845245276592134,0.10164962383255681,0.0006161078496820992,0.025997433967477848,0.06996574696682857,0.04660366058900659,0.011995128837811985,0.08307258566239453,0.005005464036457334,0.0578304787804626,0.059809717882315164,0.06762502967195326,0.03356216396915272,0.0025096091568343076,0.09453015339970929,0.09880711276601811,0.05125233399161653,0.0021947946731768015,0.06176701040519477,0.03359444188530319,0.01940462755759638,0.017965602700379914,0.01906115057250791,0.03518002084556317
random,0.11678628553657186,0.12326630962888797,0.397131644085224,0.03132035702514858,0.08575748303235396,0.08301867519411615,0.0678136577581093,0.06895185630117492,0.08511554774561593,0.05229686106085909,0.07664551395431464,0.005646184114986546,0.04825619171958581,0.0437667663271836,0.0032855677181076797,0.007573101458536574,0.0019020656826699135,0.025607298683379937,0.004660571794734217,0.03685518178693586,0.07078631971937639,0.053461636329922416,0.05868387419263045,0.002744081543557533,0.07311872500246444,0.012732481854236264
random,0.11504332019944888,0.11888685696430393,0.3971001342923086,0.07628699579475945,0.015013714558401949,0.09929401118653383,0.09167027011944465,0.08354110925442756,0.013586584469476616,0.01496877671517584,0.0732197772351017,0.011496347102611153,0.012144265435467625,0.04289876982369671,0.0005763593483282348,0.077322853116943,0.05789508923278106,0.008378083589551458,0.058256875836931,0.005796708051144469,0.007576646390901522,0.05202840532132975,0.05356708086867919,0.036330763714765124,0.06663651991952291,0.0415139929140253
random,0.11456223922311463,0.11789586160603942,0.39635747390294795,0.08063639008484115,0.05838368291814955,0.06317675571269146,0.07436634882025285,0.016535072648257904,0.07897220310494049,0.0422538677820408,0.060727653126134144,0.025949675811578435,0.026862745000726815,0.029324932463563803,0.028383789898220123,0.0050970617513227765,0.02524541920157604,0.05279313197632044,0.07355482657598908,0.0033977590381887362,0.0013560227128081707,0.04830944701995339,0.05705761100931704,0.049601133220506806,0.07935053356589837,0.018663936556721713
random,0.1149062369897293,0.11926027302003266,0.3947073276319681,0.07082642892327666,0.012582723029821651,0.07034320231455438,0.05406587859402418,0.06800226363753878,0.026582838364568213,0.06619878538560209,0.03654484513828958,0.014537678218191685,0.07638704809393315,0.07266919451600218,0.009567120448084944,0.03496696402141233,0.07559098087620372,0.042038224700682594,0.03810133294938051,0.014974050488889489,0.03215599806849237,0.038186096449685236,0.05473127242118304,0.034494670474817024,0.048671273372500316,0.0077811295128659376
random,0.11774154862859748,0.12817897109830084,0.3893635193637919,0.01791477901864262,0.06869802877553176,0.015606881237289726,0.07631613183571556,0.040947724515491744,0.08839764040624731,0.009308673399634109,0.048487404981519246,0.017605921455470935,0.09148051163062212,0.013187061155894271,0.05108504159380447,0.011081648194883269,0.08398922160709628,0.029695267155626908,0.06254706100771588,0.017914019841585114,0.03701973570117488,0.011970901292841254,0.057995673940121506,0.0003635693212309229,0.10455810379972386,0.04382899813213644
random,0.11541855191185325,0.12255113001341722,0.38828869691621937,0.046265002846670816,0.08336201892682969,0.05381091341726313,0.07792909387005938,0.03121572899161638,0.045717427468637904,0.048704730879005724,0.009621570528167766,0.0365280189575219,0.08407556678224527,0.05781685385889519,0.016268781902802187,0.031056698611307304,0.017560743569776414,0.002275082488948795,0.08500333742965788,0.04107896828692548,0.028186115421679574,0.054851458292887866,0.0006703824305270835,0.025481201622775906,0.06443421965992668,0.0580860837558719
random,0.11455265279245214,0.120374307946781,0.38811703473945647,0.07743165181256853,0.06243128679305977,0.07421276276174676,0.07614998784323145,0.05136023635991771,0.026499781737726668,0.04290632706465228,0.0016429029853127757,0.07119932376618646,0.06991792791817389,0.04428112672173123,0.03288852843908777,0.015035455323809413,0.006584221531867599,0.02830841604687124,0.08166420399275562,0.005989355462964798,0.08268030812649203,0.046053731171201734,0.038405302514341835,0.010711002311888743,0.00621763625411662,0.04742852306029545
